dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Eu quero adiar a nomeação de um Lorde até que eu me aconselhe com meus súditos. 
dlga_lord_attack_verify_b:lord_attack_verify_cancel|Desculpe-me senhor. Não sei no que eu estava pensando.
dlga_lord_attack_verify_b:lord_attack_verify_commit|Eu resistirei. Prepare-se para lutar!
dlga_lord_attack_verify_commit:close_window|{s43}
dlga_lord_demand:lord_pretalk|Perdoe-me. Não foi nada.
dlga_lord_talk:liege_defends_claim_1|Eu encontrei em minhas viagens alguém que se chama {s45}...
dlga_liege_defends_claim_1:liege_defends_claim_2|Oh mesmo? Não é todo mundo que ousa mencionar esse nome em minha presença. Não tenho certeza se devo recompensá-l{o/a} por sua bravura, ou puní-l{o/a} por sua impertinência.
dlga_liege_defends_claim_2:liege_defends_claim_3|Muito bem. Irei perdoá-l{o/a} por sua curiosidade. Mas ouça atentamente, porque não quero falar novamente.
dlga_liege_defends_claim_3:liege_defends_claim_4|{s48}
dlga_liege_defends_claim_4:lord_talk|{s48}
dlga_lord_join_rebellion_suggest_cheat:close_window|TRAPAÇA:Tudo bem.
dlga_lord_talk:lord_prison_break_chains|Eu vim para te tirar daqui.
dlga_lord_prison_break_chains:close_window|Graças aos céus que você veio! No entanto, eu não vou a lugar algum com estas correntes nas minhas pernas. Você precisará obter a chave do guarda de alguma forma.
dlga_lord_tell_objective:lord_pretalk|O que estou fazendo? O que parece que estou fazendo?! Sou um prisioneiro aqui!
dlga_lord_tell_objective:lord_pretalk.1|Não estou comandando homens no momento.
dlga_lord_tell_objective:lord_pretalk.2|Estamos descansando em {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.3|Estamos viajando para {s1}. {s14}{s15}
dlga_lord_tell_objective_2:lord_pretalk|Estou me dirigindo em direção a {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.4|Estamos recrutando novos soldados de {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.5|Estamos no encalço do inimigo ao redor de {s1}; {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.6|Estamos atacando a vila de {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.7|Estamos recuando para {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.8|Estamos realizando o cerco a {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.9|Estamos lutando contra {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.10|Estou realizado uma triagem sobre os avanços de {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.11|Estamos acompanhando {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_talk_ask_about_strategy|Estou liderando o exército do reino.
dlga_lord_tell_objective:lord_pretalk.12|Estamos reconsiderando nosso próximo objetivo.
dlga_lord_tell_objective:lord_pretalk.13|Eu não sei: {reg1} {s1} (ERRO)
dlga_lord_talk:lord_ask_follow|Vai me seguir? Eu tenho um plano.
dlga_lord_ask_follow:close_window|Eu aprecio sua companhia, {playername}, mas há outras coisas que devo dirigir minha atenção. Talvez em alguns dias possa cavalgar com você novamente.
dlga_lord_ask_follow:close_window.1|Isso dificilmente seria apropriado, {playername}. Por que você não me segue ao invés disso?
dlga_lord_ask_follow:close_window.2|{s43}
dlga_lord_ask_follow:close_window.3|Lidere o caminho, {playername}! Vamos trazer morte e derrota aos nossos inimigos.
dlga_lord_talk_preoffer:lord_talk_offer|Pois não?
dlga_lord_talk_offer:knight_offer_join|Eu gostaria de vender um de meus prisioneiros.
dlga_lord_talk_offer:lord_pretalk|Deixe para lá.
dlga_knight_offer_join:hero_pretalk|Eu temo que não possa me juntar a você no momento, {playername}, tenho negócios importantes para tratar e não posso adiá-los.
dlga_knight_offer_join:hero_pretalk.1|Esquece o seu lugar, {senhor/senhora}. Não recebo ordens de alguém como você.
dlga_knight_offer_join:knight_offer_join_2|Eu adoraria lutar ao seu lado, {meu amigo/minha amiga}, mas há um problema... Acontece que, eu me deparei com uma situação financeira difícil e preciso tratar disso o mais rápido possível. São {reg6} dinares ao todo, e eu sou obrigado pela honra a devolver cada moeda. A menos que tenha {reg6} dinares com você e que possa me emprestar, terei que atentar a isso no momento.
dlga_knight_offer_join:close_window|Juntar-se a você? Acho que não.
dlga_knight_offer_join:knight_offer_join_2.1|Sim, {meu amigo/minha amiga}, ficarei feliz em juntar-me a você.
dlga_knight_offer_join_2:knight_offer_join_accept|Aqui, tome, todos os {reg6} dinares que necessita.
dlga_knight_offer_join_2:knight_offer_join_accept.1|Então vamos cavalgar juntos, {meu amigo/minha amiga}.
dlga_knight_offer_join_2:close_window|É bom saber. Vou pensar sobre isso.
dlga_knight_offer_join_2:hero_pretalk|É bom saber. Vou pensar sobre isso.
dlga_knight_offer_join_accept:knight_offer_join_accept_party|Tenho alguns homens confiáveis em meu bando que poderiam lhe ser úteis. O que deseja fazer com eles?
dlga_knight_offer_join_accept:close_window|Ah, certamente, isso será divertido!
dlga_knight_offer_join_accept_party:knight_join_party_disband|Pode dispensar seus homens. Não tenho mais necessidade de outras tropas.
dlga_knight_offer_join_accept_party:knight_join_party_join|Seus homens podem ajudar também. Nós precisamos de cada soldado que pudermos arranjar.
dlga_knight_offer_join_accept_party:knight_join_party_lead_out|Lidere nossos homens para fora da cidade. Eu os alcançarei na estrada.
dlga_knight_offer_join_accept_party:knight_join_party_lead_out.1|Continue fazendo o que está fazendo. Nos vemos mais tarde.
dlga_knight_join_party_disband:close_window|Ah . . . Muito bem, {playername}. Embora não goste de perder bons homens, a decisão é sua. Eu dispensarei minhas tropas e me juntarei a você.
dlga_knight_join_party_join:close_window|Excelente. Meus rapazes e eu cavalgaremos com você.
dlga_knight_join_party_lead_out:close_window|Muito bem então. Eu manterei uma patrulha nessa área. Retorne se tiver mais ordens para mim.
dlga_lord_enter_service_reject:close_window|De fato.... Você ofereceu vassalagem, então, apenas para ganhar tempo? Muito bem -- você terá tempo para reconsiderar, mas se estiver brincando comigo, isso não trará crédito a sua reputação.
dlga_lord_give_oath_give_up:close_window|De fato.... Você ofereceu vassalagem, então, apenas para ganhar tempo? Muito bem -- você terá tempo para reconsiderar, mas se estiver brincando comigo, isso não trará crédito a sua reputação.
dlga_lord_enter_service_reject:close_window.1|Que presunção! E pensar que eu ofereceria a você um lugar junto meus nobres. Suma, pedinte, antes que eu perca a cabeça!
dlga_lord_ask_enter_service:lord_give_oath_under_oath_already|Você já jurou servir {s5}, não é verdade?
dlga_lord_give_oath_under_oath_already:lord_pretalk|De fato eu jurei, {s65}. Perdoe minha confusão.
dlga_lord_ask_enter_service:lord_pretalk|Só aceito juramentos daqueles que confio irão mantê-los, {playername}.
dlga_lord_ask_enter_service:lord_ask_enter_service_female_2|Minha senhora, você parece possuir as marcas de uma boa líder de guerra. Para uma mulher mostrar tal perícia é algo incomum em Calradia, mas não sem precedentes. Nobres mulheres já tiveram controle sobre exércitos depois que seus maridos ou pais foram mortos ou capturados, por exemplo.
dlga_lord_ask_enter_service_female_2:lord_ask_enter_service_female_response|Contudo, nunca ouvi falar de um rei que deu um feudo para uma mulher, não importando quão valorosa, simplesmente porque ele precisava de um vassalo a mais. Se eu fizer isso, deixaria todos em Calradia com dúvidas. Homens diriam que fui enfeitiçado, ou que tentei mudar a ordem natural das coisas. Portanto, mesmo arrependendo-me disso, não posso dar-lhe um feudo.
dlga_lord_ask_enter_service_female_response:lord_ask_enter_service_female_solution_capture|O que acontece se eu tomar um castelo inimigo a força?
dlga_lord_ask_enter_service_female_response:lord_ask_enter_service_female_solution_marriage|E se eu casar com um de seus lordes?
dlga_lord_ask_enter_service_female_response:lord_ask_enter_service_female_solution_competitor|Talvez um de seus competidores provará ter uma mente mais aberta.
dlga_lord_ask_enter_service_female_response:lord_ask_enter_service|Eu estou disposta a lutar por você, mesmo sem possuir um feudo.
dlga_lord_ask_enter_service_female_response:lord_pretalk|Deixe para lá.
dlga_lord_ask_enter_service_female_solution_marriage:lord_ask_enter_service_female_response|Bem, eu ainda não estaria disposto a dar-lhe quaisquer feudos. No entanto, você sem dúvida terá que usar as propriedades de seu marido, as quais permitem que haja como meu vassalo em tudo menos em nome. Você tem mais questões?
dlga_lord_ask_enter_service_female_solution_competitor:lord_ask_enter_service_female_response|Oh, talvez você possa encontrar alguém que esteja realmente desesperado -- mas então, eu penso que eles não terão muitos feudos para dar. Você tem mais questões?
dlga_lord_ask_enter_service_female_solution_capture:lord_ask_enter_service_female_response|Bem, nesse caso, dependendo das circunstâncias, eu possa estar inclinado a deixar que fique com ele. Você tem mais questões?
dlga_lord_ask_enter_service:lord_give_oath_1|Você é conhecid{o/a} como {um bravo guerreiro/uma valente guerreiro} e um excelente líder de homens, {playername}. Eu devo estar agradecido por aceitar sua espada ao meu serviço e dar-lhe o direito de vassalagem, se estiver {pronto/pronta} para prestar fidelidade a mim.
dlga_lord_ask_enter_service:lord_pretalk.1|Você ainda precisa mostrar-se como um competente comandante, {playername}. Traga sua espada contra meus inimigos e prove-me que você é digno de ser meu vassalo. Então poderemos falar mais sobre isso.
dlga_lord_give_oath_1:lord_give_oath_2|Estou pronto, {s65}.
dlga_lord_give_oath_1:lord_give_oath_give_up|Perdoe-me, {s65}, eu preciso pensar mais sobre o assunto antes...
dlga_lord_give_oath_give_up:lord_pretalk|Leve o tempo que precisar, minha senhora.
dlga_lord_give_oath_give_up:close_window.1|Por que está demorando, {playername}? Decida-se e para de me fazer perder tempo.
dlga_lord_give_oath_2:lord_give_oath_3|Bom. Então repita as palavras do juramento comigo: Eu juro fidelidade a você como legítimo governante de {s41}.
dlga_lord_give_oath_3:lord_give_oath_4|Eu juro fidelidade a você como legítimo governante de {s41}.
dlga_lord_give_oath_3:lord_give_oath_give_up|Perdoe-me, {reg65?minha senhora:meu senhor}. Mas eu sinto que preciso pensar sobre isso.
dlga_lord_give_oath_4:lord_give_oath_5|Eu continuarei como {um leal e devoto seguidor/uma leal e devota seguidora} enquanto eu ainda respirar...
dlga_lord_give_oath_5:lord_give_oath_6|Eu continuarei como {um leal e devoto seguidor/uma leal e devota seguidora} enquanto eu ainda respirar...
dlga_lord_give_oath_5:lord_give_oath_give_up|{reg65?Minha senhora:Meu senhor}, posso pedir um tempo para pensar sobre isso?
dlga_lord_give_oath_6:lord_give_oath_7|...e eu irei lutar ao seu lado contra seus inimigos caso precise de minha espada.
dlga_lord_give_oath_7:lord_give_oath_8|...e eu irei lutar ao seu lado contra seus inimigos caso precise de minha espada.
dlga_lord_give_oath_7:lord_give_oath_give_up|{reg65?Minha senhora:Meu senhor}, por favor me de mais tempo para pensar sobre isso.
dlga_lord_give_oath_8:lord_give_oath_9|Por fim, eu defenderei suas legítimas pretensões e àquelas de seus herdeiros legítimos.
dlga_lord_give_oath_9:lord_give_oath_10|Por fim, eu defenderei suas legítimas pretensões e àquelas de seus herdeiros legítimos.
dlga_lord_give_oath_9:lord_give_oath_give_up|{reg65?Minha senhora:Meu senhor}, eu preciso mais tempo para considerar isso.
dlga_lord_give_oath_10:lord_give_oath_go_on_2|Muito bem. Você prestou seu solene juramento a mim, {playername}. Que você o mantenha com coragem e devoção.
dlga_lord_give_oath_go_on_2:lord_give_oath_go_on_3|Que seja conhecido que a partir desse dia em diante, você é {meu leal seguidor/minha leal seguidora} e vassalo. Eu lhe dou minha proteção e permito que carregue armas em meu nome, e eu juro que não o privarei de sua vida, liberdade ou propriedades exceto por legítimo julgamento de seus subalternos ou pela lei e os costumes da terra.{reg1? Além disso lhe concederei o feudo de {s1} com todas suas rendas e receitas.:}
dlga_lord_give_oath_go_on_3:lord_give_conclude|Você foi sábio, {playername}. Sirva-me bem e eu prometo que vai subir na vida.
dlga_lord_give_conclude:lord_give_conclude_2|{s41}
dlga_lord_give_conclude_2:close_window.1|Que seja, minha esposa. Que meus vassalos sejam tão valorosos e leais como você.
dlga_lord_give_conclude_2:close_window.2|Tenho grandes esperanças para você {playername}. Eu sei que é capaz de provar meu julgamento sobre você.
dlga_lord_ask_enter_service:lord_enter_service_swear|Heh, uma atitude sagaz, {playername}. Com um serviço leal, um {homem/mulher} ao meu comando pode ficar rico e poderoso, e nossos inimigos... Bem, nossos inimigos estão como o trigo está para a foice. Contudo, para entrar ao meu serviço você deve primeiro renunciar todas suas ligações e juramentos e jurar servir apenas {s5}.
dlga_lord_enter_service_swear:lord_enter_service_swear_accepted|Eu juro, {s65}.
dlga_lord_enter_service_swear:lord_enter_service_swear_denied|Eu preciso de um tempo para pensar nisso.
dlga_lord_enter_service_swear_denied:close_window|Você tenta me enganar? Não tenho tempo para jogos, {playername}. Decida-se e para de perder meu tempo.
dlga_lord_enter_service_swear_accepted:lord_enter_service_swear_accepted_2|Então tenho o prazer de dar as boas vindas ao serviço de minha casa. De esse dia em diante, {playername}, você é um soldado de {s5} com todos os deveres e privilégios que vem com ele.
dlga_lord_enter_service_swear_accepted_2:close_window|Eu peço que elimine e destrua as forças dos nossos inimigos aonde quer que encontre-os. Além disso, eu terei tarefas especiais de tempos em tempos, assim como outros lordes ao meu serviço. Sirva, lute e honre seus julgamentos. Isso o levará longe, se tiver em mente a promoção. Que deus nos dê vidas longas e muitas vitórias para que as brindê-mos em meu salão!
dlga_lord_ask_leave_service:lord_ask_leave_service_verify|Hrm. Seu julgamento tornou-se um fardo, {playername}? É fora do comum pedir que seja liberado do julgamento, mas em respeito ao bom serviço que prestou, não o segurarei se realmente deseja acabar com isso. Mas sua falta será sentida.
dlga_lord_ask_leave_service:lord_ask_leave_service_verify.1|Liberá-l{o/a} de seu juramento? Hmm, talvez isso seja o melhor... Contudo, {playername}, você deve ter certeza que isso é o que deseja. Isso não é algo a ser feito levianamente.
dlga_lord_ask_leave_service_verify:lord_ask_leave_service_2|É algo que preciso fazer, {s65}.
dlga_lord_ask_leave_service_verify:lord_ask_leave_service_giveup|Está certo, {s65}. Meu lugar é aqui.
dlga_lord_ask_leave_service_giveup:lord_pretalk|Estou feliz em ouvir isso, {playername}. Espero que elimine tais pensamentos indignos de sua mente a partir de agora.
dlga_lord_ask_leave_service_2:lord_ask_leave_service_verify_again|Tem certeza? Fique sabendo que se deixar meu serviço, você estará abrindo mão de seus feudos que mantém em seu nome.
dlga_lord_ask_leave_service_verify_again:lord_ask_leave_service_3|Sim, {65}.
dlga_lord_ask_leave_service_verify_again:lord_ask_leave_service_giveup|É claro que não, {s65}. Serei seu servo leal para sempre.
dlga_lord_ask_leave_service_3:lord_ask_leave_service_end|Como quiser. Eu declaro seus juramentos nulos e sem valor. Você não mais tem terras ou títulos em meu nome, e você está livre dos deveres para com minha casa. Está livre para ir, {playername}.
